Gene	Category	CCK
A1BG	Other	0.00768662778135197
A1CF	Other	0.0636037016878034
A2M	Other	-0.0614676524325782
A2ML1	Other	0.143393984359261
A4GALT	Other	0.133711704299441
A4GNT	Other	0.00957456573133117
AAAS	Other	-0.0515198294595514
AACS	Other	0.0319941339323399
AADAC	Other	0.0680627225827136
AADACL2	Other	0.0731689577661291
AADACL3	Other	-0.016065617942443
AADACL4	Other	0.108131174254532
AADAT	Other	0.0364473630287327
AAED1	Other	-0.0911182817754816
AAGAB	Other	-0.013448139326698
AAK1	Other	-0.146459604812166
AAMDC	Other	-0.0296100861769268
AAMP	Other	-0.098281620257919
AANAT	Other	0.00689517048361906
AAR2	Other	-0.00454313029499609
AARD	Other	0.165253084814691
AARS	Other	-0.31659291074944
AARS2	Other	0.118057734409723
AARSD1	Other	-0.199244154932769
AASDH	Other	-0.082333506205183
AASDHPPT	Other	0.00556439908686091
AASS	Other	0.115622097989634
AATF	Other	-0.0265525209525524
AATK	Other	-0.0929104717986487
ABAT	Other	-0.00687254068678027
ABCA1	Other	-0.0314689091100235
ABCA10	Other	0.0503290441358698
ABCA12	Other	-0.110935691001447
ABCA13	Other	-0.0549662023919486
ABCA2	Other	0.0983157076729194
ABCA3	Other	0.0148877912619421
ABCA4	Other	-0.0149506649392443
ABCA5	Other	-0.0809388382037522
ABCA6	Other	0.111537982044553
ABCA7	Other	0.0298863601964262
ABCA8	Other	0.00392441274081683
ABCA9	Other	0.0455955956872685
ABCB1	Other	0.0167643271259803
ABCB10	Other	-0.271770925926285
ABCB11	Other	-0.106471003211202
ABCB4	Other	-0.0224708563138068
ABCB5	Other	0.145395791099167
ABCB6	Other	-0.122788664349535
ABCB7	Other	-0.131084279261681
ABCB8	Other	0.189977396967874
ABCB9	Other	0.0781265793123155
ABCC1	Other	-0.022308444447853
ABCC10	Other	-0.048798621122747
ABCC11	Other	0.0682721819911248
ABCC12	Other	0.116124500519534
ABCC2	Other	-0.0505707774994507
ABCC3	Other	0.0541098231813483
ABCC4	Other	0.0278848003574288
ABCC5	Other	0.244608063390708
ABCC6	Other	-0.0685256328222211
ABCC8	Other	-0.0254027514716938
ABCC9	Other	0.030359229502462
ABCD1	Other	-0.0212047568791245
ABCD2	Other	0.045534144592746
ABCD3	Other	-0.035842900031331
ABCD4	Other	-0.147744693271272
ABCE1	Other	-0.00410567045118423
ABCF1	Other	-0.170718306409477
ABCF2	Other	-0.0705383235329486
ABCF3	Other	0.0438055747587523
ABCG1	Other	-0.508497285592882
ABCG2	Other	0.197407685376946
ABCG4	Other	0.0372241839152372
ABCG5	Other	0.107197797079343
ABCG8	Nonessential	-0.10640371350134
ABHD1	Other	-0.0457019095070323
ABHD10	Other	-0.126410185162688
ABHD11	Other	-0.586201528267357
ABHD12	Other	-0.00440587893040318
ABHD12B	Other	0.00472212796981338
ABHD13	Other	-0.290760166371399
ABHD14A	Other	-0.0993374749576446
ABHD14B	Other	-0.0819742446688122
ABHD15	Other	-0.100211455823868
ABHD16A	Other	-0.09503619939966
ABHD16B	Other	-0.05312553843648
ABHD17A	Other	-0.0977011520738351
ABHD17B	Other	0.071762229504176
ABHD17C	Other	0.00645512828358176
ABHD2	Other	-0.137050959680126
ABHD3	Other	0.0713681493190101
ABHD4	Other	0.0366792556681468
ABHD5	Other	-0.0330313480445442
ABHD6	Other	-0.139413395540712
ABHD8	Other	-0.0978810067616694
ABI1	Other	-0.0758386640558038
ABI2	Other	0.0914067920255884
ABI3	Other	-0.0397671404897055
ABI3BP	Other	0.0476833494099705
ABL1	Other	0.0269505529916192
ABL2	Other	0.00970037502573958
ABLIM1	Other	-0.0358379928402763
ABLIM2	Other	0.011866898890492
ABLIM3	Other	0.128872083888833
ABR	Other	-0.00664757702467544
ABRA	Other	0.127236504729892
ABRACL	Other	-0.0004267213575307
ABT1	Other	-0.144976879663263
ABTB1	Other	0.00863374802847696
ABTB2	Other	0.0951454717391056
ACAA1	Other	-0.0557587811918404
ACAA2	Other	-0.0256485380072188
ACACA	Other	0.0433401688256136
ACACB	Other	-0.13387706924233
ACAD10	Other	-0.0783068682029047
ACAD11	Other	-0.0345463023439297
ACAD8	Other	0.332947358685422
ACAD9	Other	-0.0436917267399493
ACADL	Other	0.0906932815901838
ACADM	Other	0.105113130670552
ACADS	Other	-0.229115858484116
ACADSB	Other	-0.0773147833294922
ACADVL	Other	0.0616460401888081
ACAN	Other	0.0413096404198782
ACAP1	Other	-0.0178382621469408
ACAP2	Other	0.064284434446736
ACAP3	Other	-0.0054771517336251
ACAT1	Other	0.0955931327848237
ACAT2	Other	0.219226367979491
ACBD3	Other	-0.0588497582529521
ACBD4	Other	0.00134362158672878
ACBD5	Other	0.0546041544524923
ACBD6	Other	-0.082910844683268
ACBD7	Other	0.110577610827362
ACCS	Other	0.316617881507235
ACCSL	Nonessential	0.00379424754952235
ACD	Other	-0.238196952812578
ACE	Other	0.0472783343698162
ACE2	Other	0.0638977709626377
ACER1	Other	0.276619966884319
ACER2	Other	0.0140017261365418
ACER3	Other	0.0479758520127086
ACHE	Other	-0.126174226117827
ACIN1	Other	-0.038369141975972
ACKR1	Other	-0.0903905497152647
ACKR2	Other	0.151266762703661
ACKR3	Other	0.177380152770097
ACKR4	Other	-0.146885423183703
ACLY	Other	0.0563170399794406
ACMSD	Other	0.0712241414997833
ACN9	Other	0.124660462097809
ACO1	Other	0.0536222518008587
ACO2	Other	-0.0565415311410965
ACOT1	Other	0.173346103887371
ACOT11	Other	0.115138262546515
ACOT12	Other	-0.183315077949744
ACOT13	Other	-0.0739743581886956
ACOT2	Other	0.0912897621420383
ACOT4	Other	-0.00695489528235681
ACOT6	Other	0.00162564146902658
ACOT7	Other	0.141317176901832
ACOT8	Other	0.0851135237047939
ACOT9	Other	0.111724405622428
ACOX1	Other	-0.0638122258191457
ACOX2	Other	0.0760700872223118
ACOX3	Other	0.0371491401001397
ACOXL	Other	-0.190315365742135
ACP1	Other	0.126405906047972
ACP2	Other	-0.0163685957754226
ACP5	Other	0.119360560470103
ACP6	Other	-0.177695799959341
ACPP	Other	0.0721187059914268
ACPT	Other	0.101301328467097
ACR	Other	0.176648575599175
ACRBP	Other	0.195760074372723
ACRC	Other	-0.0783549614898595
ACRV1	Other	0.104636980274403
ACSBG1	Other	0.131488830203668
ACSBG2	Other	-0.0223956174576042
ACSF2	Other	0.0656407917284659
ACSF3	Other	0.112671626908867
ACSL1	Other	0.0178214872096857
ACSL3	Other	0.0392171905643186
ACSL4	Other	0.137383418328164
ACSL5	Other	0.16152763290929
ACSL6	Other	0.072991347369845
ACSM1	Other	0.200758412998144
ACSM2A	Other	0.150312698604555
ACSM2B	Other	0.328602295128225
ACSM3	Other	-0.0409928334390868
ACSM4	Other	0.166232152021754
ACSM5	Other	0.215738844486574
ACSM6	Other	0.128853836627452
ACSS1	Other	-0.054376274439464
ACSS2	Other	0.143586393173389
ACSS3	Other	-0.000873149499659961
ACTA1	Other	-0.0343024221397099
ACTA2	Other	0.0577979992221943
ACTB	Other	-0.00508058270103168
ACTBL2	Other	-0.0250770707105818
ACTC1	Other	0.0583242215308391
ACTG1	Other	-0.321866483694975
ACTG2	Other	0.0318699369879967
ACTL10	Other	0.0293734001925917
ACTL6A	Other	-0.258603730166635
ACTL6B	Other	-0.0430307471534523
ACTL7A	Nonessential	-0.228220805806237
ACTL7B	Nonessential	-0.127657089706157
ACTL8	Other	0.0625763114820799
ACTL9	Nonessential	0.156522697513443
ACTN1	Other	0.0196872985621261
ACTN2	Other	-0.18792319530524
ACTN4	Other	-0.152466861752215
ACTR10	Other	-0.0570242046479521
ACTR1A	Other	-0.290718241422919
ACTR1B	Other	-0.204418337218171
ACTR2	Other	-0.402104044536792
ACTR3	Other	-0.0801783024981216
ACTR3B	Other	0.100926314380281
ACTR3C	Other	-0.0171689773374051
ACTR5	Other	0.0134485218345435
ACTR6	Other	-0.0789691351085977
ACTR8	Other	-0.285966479187435
ACTRT1	Nonessential	-0.023877104265946
ACTRT2	Other	0.192810454291012
ACTRT3	Other	0.0245228724760488
ACVR1	Other	0.0569002489845652
ACVR1B	Other	-0.0571311756454185
ACVR1C	Other	0.117177564585021
ACVR2A	Other	-0.216011490906456
ACVR2B	Other	0.206721972876859
ACVRL1	Other	0.160988034317718
ACY1	Other	0.096610487972462
ACY3	Other	-0.154602133885599
ACYP1	Other	-0.0896637928355724
ACYP2	Other	0.15890069185812
ADA	Other	-0.0159144937595007
ADAD1	Nonessential	-0.00811639193992538
ADAD2	Other	-0.0139712314996489
ADAL	Other	0.0249636294763595
ADAM10	Other	-0.132790377795352
ADAM11	Other	-0.0065878959012126
ADAM12	Other	-0.0596238227238502
ADAM15	Other	0.0585415068055619
ADAM17	Other	0.0535181750052079
ADAM18	Nonessential	0.0196912251590588
ADAM19	Other	0.245954912225713
ADAM2	Nonessential	-0.0439304542100758
ADAM20	Nonessential	0.00321608820210651
ADAM21	Other	0.0556254251589908
ADAM22	Other	-0.117366819499684
ADAM23	Other	-0.0572193005376345
ADAM28	Other	0.201334820484763
ADAM29	Other	0.149766290384619
ADAM30	Nonessential	-0.10164390155946
ADAM32	Other	0.0921091029846002
ADAM33	Other	-0.0358136152017682
ADAM7	Other	0.0295386954267945
ADAM8	Other	0.0216288531274199
ADAM9	Other	0.10198329326884
ADAMDEC1	Other	0.118121564790953
ADAMTS1	Other	-0.187474992169222
ADAMTS10	Other	-0.0999594162404301
ADAMTS12	Other	0.0650379881453243
ADAMTS13	Other	0.119744311838271
ADAMTS14	Other	0.0746558295059526
ADAMTS15	Other	0.101120534604489
ADAMTS16	Other	-0.0323855377970029
ADAMTS17	Other	0.101168427550582
ADAMTS18	Other	-0.0250646948383464
ADAMTS19	Other	0.0539511600446227
ADAMTS2	Other	0.0605479711633593
ADAMTS20	Other	0.0893104944495777
ADAMTS3	Other	0.00855263339186699
ADAMTS4	Other	-0.115941186561734
ADAMTS5	Other	0.0325712364523123
ADAMTS6	Other	0.0468257429056911
ADAMTS7	Other	-0.25858617833533
ADAMTS8	Other	-0.0491758187097536
ADAMTS9	Other	-0.00488068456133723
ADAMTSL1	Other	0.11023212587478
ADAMTSL2	Other	0.0838034779740854
ADAMTSL3	Other	0.0145498179346433
ADAMTSL4	Other	-0.138092891545769
ADAMTSL5	Other	0.113898985509163
ADAP1	Other	-0.0805120363735239
ADAP2	Other	-0.195857548462212
ADAR	Other	0.0503812922614689
ADARB1	Other	0.157272597133412
ADARB2	Other	0.0724400187635837
ADAT1	Other	-0.0315891908545762
ADAT2	Other	-0.129774801920069
ADAT3	Other	-0.00237965570790646
ADCK1	Other	0.2038402080579
ADCK2	Other	-0.168953009597167
ADCK3	Other	0.0122924939354298
ADCK4	Other	0.023464712623025
ADCK5	Other	0.0298996493632635
ADCY1	Other	0.128066115045705
ADCY10	Other	0.142099955103023
ADCY2	Other	0.158790391589547
ADCY3	Other	-0.0788290479873296
ADCY4	Other	-0.0372286273287954
ADCY5	Other	0.106685749407676
ADCY6	Other	0.170960138456422
ADCY7	Other	0.150802298782318
ADCY8	Other	0.010019238170017
ADCY9	Other	0.0268963669688717
ADCYAP1	Other	-0.101157503597195
ADCYAP1R1	Other	0.00724735205637816
ADD1	Other	-0.00410776125178821
ADD2	Other	-0.19718012718536
ADD3	Other	-0.0590509698502651
ADH1A	Other	0.111314778773829
ADH1B	Other	-0.0798749747288634
ADH4	Other	0.124191722553845
ADH5	Other	-0.0142086175720019
ADH6	Other	0.161430142986932
ADH7	Nonessential	0.0400427235734209
ADHFE1	Other	0.00712489141720093
ADI1	Other	0.072039011728027
ADIG	Other	0.00655607259303509
ADIPOQ	Other	0.137582500599969
ADIPOR1	Other	0.153061421111326
ADIPOR2	Other	0.15697018620806
ADIRF	Other	-0.0437875751923564
ADK	Other	-0.0335258706782916
ADM	Other	0.134171379698537
ADM2	Other	0.171283071340914
ADM5	Other	-0.12878606946278
ADNP	Other	-0.0711162993026169
ADNP2	Other	0.181720408861624
ADO	Other	0.058224367816709
ADORA1	Other	-0.0676165581706015
ADORA2A	Other	0.114170544676662
ADORA2B	Other	-0.249536656220629
ADORA3	Other	0.0718680873268678
ADPGK	Other	-0.141378877873514
ADPRH	Other	-0.200697661434992
ADPRHL1	Other	0.0755973569360964
ADPRHL2	Other	-0.224879224558294
ADPRM	Other	0.174028843698736
ADRA1A	Other	0.263187156463985
ADRA1B	Other	0.0938626556454113
ADRA1D	Other	0.0962894114130248
ADRA2A	Other	0.125915625655958
ADRA2B	Other	0.113577747056628
ADRA2C	Other	0.0572716317543508
ADRB1	Other	-0.00515564788698855
ADRB2	Other	-0.0263292530712067
ADRB3	Other	0.172788776691762
ADRBK1	Other	-0.17384104049705
ADRBK2	Other	-0.106595528762474
ADRM1	Other	-0.179336840908032
ADSL	Other	-0.0942847071727105
ADSS	Other	-0.149422449191433
ADSSL1	Other	-0.0988707246542397
ADTRP	Other	0.0779095917698042
AEBP1	Other	-0.0108061938291637
AEBP2	Other	-0.153917057500873
AEN	Other	0.0940750337019939
AES	Other	-0.0970978958869474
AFAP1	Other	0.0287645634894536
AFAP1L1	Other	-0.00189207807690249
AFAP1L2	Other	-0.0524155892735333
AFF1	Other	0.1113088125157
AFF2	Other	0.237421134256421
AFF3	Other	-0.184146840334178
AFF4	Other	0.0173923647746404
AFG3L2	Other	-0.0530715536280312
AFM	Nonessential	-0.0854868470069822
AFMID	Other	0.0501684406138714
AFP	Other	-0.0613823373128309
AFTPH	Other	-0.0334872047592259
AGA	Other	0.0841055103003692
AGAP1	Other	0.069312776317852
AGAP2	Other	-0.172872334721837
AGAP3	Other	0.0452285850967075
AGAP4	Other	-0.704449318875448
AGAP5	Other	-0.0920302337943001
AGAP6	Other	-0.229618948524287
AGAP7P	Other	-0.318050581843454
AGAP9	Other	-0.285371485885877
AGBL2	Other	0.01586320586739
AGBL3	Other	-0.0692128841562925
AGBL4	Other	-0.0248952628957528
AGBL5	Other	-0.110222628765594
AGER	Other	0.10320552955116
AGFG1	Other	0.0131033810722188
AGFG2	Other	-0.189628476815469
AGGF1	Other	0.0194322257404476
AGK	Other	0.0268418457451945
AGL	Other	-0.0582853591191761
AGMAT	Other	-0.0144161210770106
AGMO	Other	-0.00615396177934171
AGO1	Other	-0.15457349777896
AGO2	Other	-0.000527359118987043
AGPAT1	Other	-0.115280112000382
AGPAT2	Other	0.0633677220558833
AGPAT3	Other	-0.0639328731445365
AGPAT4	Other	-0.0512608247912788
AGPAT5	Other	0.137576048234021
AGPAT6	Other	0.0856521832128763
AGPAT9	Other	-0.0987499498774038
AGPS	Other	-0.119532754763765
AGR2	Other	0.025937990296123
AGR3	Other	0.0335435310707096
AGRN	Other	-0.0868983906004696
AGRP	Other	0.0944768502309617
AGT	Other	0.0286211736038354
AGTPBP1	Other	0.215911316464669
AGTR1	Other	-0.147588496193145
AGTR2	Other	-0.0173064636847615
AGTRAP	Other	0.162677855426807
AGXT	Other	0.00995687985300426
AGXT2	Other	0.0244555314926953
AHCTF1	Other	-0.0850326317087826
AHCY	Other	-0.147890850692463
AHCYL1	Other	0.120582686294835
AHCYL2	Other	-0.0295437788704993
AHDC1	Other	-0.0589366707529215
AHI1	Other	-0.0659239412714942
AHNAK	Other	0.0616438474763653
AHNAK2	Other	0.0148415400805554
AHR	Other	0.14607265924536
AHRR	Other	-0.0164014912562258
AHSA1	Other	-0.135667492644111
AHSA2	Other	0.000482996430996585
AHSG	Other	-0.0296249624117378
AHSP	Other	0.0653941082103829
AICDA	Nonessential	0.0890675173655863
AIDA	Other	0.0222241278969377
AIF1	Other	-0.0498081788619347
AIF1L	Other	-0.124219098905844
AIFM1	Other	0.0597459668393843
AIFM2	Other	0.0385085701776545
AIFM3	Other	-0.125924322432203
AIG1	Other	0.126502470471836
AIM1	Other	0.117805553822068
AIM2	Other	0.184330068954685
AIMP1	Other	-0.0685969422757931
AIMP2	Other	-0.109523130522856
AIP	Other	-0.105197131259153
AIPL1	Nonessential	0.127864086785186
AIRE	Other	0.0384000614795772
AJAP1	Other	-0.0143708307356585
AJUBA	Other	-0.0962967983878078
AK1	Other	0.0915583903902186
AK2	Other	0.0645044152111709
AK3	Other	-0.139135338045471
AK4	Other	-0.127026204443735
AK5	Other	0.0722353719596787
AK7	Other	-0.0739349037099791
AK8	Other	-0.174110719634307
AK9	Other	0.0101839297718394
AKAP1	Other	-0.0266201313827681
AKAP10	Other	-0.0539608062982927
AKAP11	Other	0.0183151015244373
AKAP12	Other	0.0414505946877347
AKAP13	Other	-0.00686994042901699
AKAP14	Other	-0.0212461190528663
AKAP17A	Other	-0.203826563035667
AKAP2	Other	0.0263560708691142
AKAP3	Other	0.117549226413045
AKAP4	Other	0.0443955964998156
AKAP5	Other	0.0524652245643532
AKAP6	Other	0.122767807534991
AKAP7	Other	-0.0366053918434408
AKAP8	Other	0.0297146940007244
AKAP8L	Other	-0.0180515287872566
AKAP9	Other	-0.00391355548627379
AKIP1	Other	-0.04891983853432
AKIRIN1	Other	-0.0809032370265107
AKIRIN2	Other	-0.443255136626271
AKNA	Other	-0.0279238500950553
AKNAD1	Other	0.0384920050649396
AKR1A1	Other	-0.17932580934758
AKR1B1	Other	0.237109575900168
AKR1B10	Other	-0.00336649890358835
AKR1B15	Other	0.034611602613767
AKR1C1	Other	0.0708604066686462
AKR1C2	Other	0.129088421241563
AKR1C3	Other	0.0980806998598348
AKR1C4	Other	0.0453662650501643
AKR1D1	Other	-0.0478015999312936
AKR1E2	Other	0.0940974539572972
AKR7A2	Other	-0.0183124202149205
AKR7A3	Other	-0.128843046231172
AKT1	Other	-0.0228047029327441
AKT1S1	Other	0.183211388430468
AKT2	Other	-0.0140286348383651
