Gene	Category	CCK-81-311cas9 Rep A p2	CCK-81-311cas9 Rep B p2	CCK-81-311cas9 Rep C p2
A1BG	Other	-0.0359902016853705	0.0667494640758584	-0.00769937904643198
A1CF	Other	0.0914739145888093	0.00160906264640215	0.0977281278281987
A2M	Other	-0.0442709667396303	-0.0862496578784725	-0.0538823326796319
A2ML1	Other	0.17183977999757	0.130193467425281	0.128148705654931
A4GALT	Other	0.163699447638936	0.0514954661036665	0.185940199155719
A4GNT	Other	-0.0825561052003421	0.0996909341638779	0.0115888682304577
AAAS	Other	-0.0344959849563594	-0.0351844027804174	-0.0848791006418776
AACS	Other	0.129098263379495	0.00168080517565491	-0.0347966667581307
AADAC	Other	0.161213976134014	0.0678374700180915	-0.0248632784039652
AADACL2	Other	0.107155396057583	0.037622590196555	0.0747288870442495
AADACL3	Other	-0.0386716397803055	0.0269010780772364	-0.0364262921242599
AADACL4	Other	0.0892606820813021	0.0994916146165788	0.135641226065715
AADAT	Other	-0.0294960087348999	0.0129910838635777	0.12584701395752
AAED1	Other	-0.0298411164970139	-0.0456283252771701	-0.197885403552261
AAGAB	Other	0.0454796472666052	-0.0855122658030483	-0.000311799443651117
AAK1	Other	-0.0836986822120034	-0.23984159164978	-0.115838540574716
AAMDC	Other	0.0621708214507727	-0.0911381055722694	-0.0598629744092836
AAMP	Other	-0.26233562691666	-0.00191976055073823	-0.0305894733063591
AANAT	Other	-0.0280280961064895	0.085611777102576	-0.0368981695452293
AAR2	Other	-0.039388722761228	0.0797232449279078	-0.0539639130516681
AARD	Other	0.125771423128507	0.172437525266623	0.197550306048943
AARS	Other	-0.292844033945852	-0.323910622978629	-0.33302407532384
AARS2	Other	0.0886307053946282	0.11215583083996	0.15338666699458
AARSD1	Other	-0.159028429460188	-0.141958594612671	-0.296745440725446
AASDH	Other	-0.00293595254513881	-0.101038880377929	-0.143025685692481
AASDHPPT	Other	0.107973728002718	-0.0277097219960768	-0.0635708087460583
AASS	Other	0.238255403282471	0.150616367943334	-0.0420054772569026
AATF	Other	-0.12350496720183	-0.133499424453991	0.177346828798164
AATK	Other	-0.0598082654084718	-0.13933600644748	-0.0795871435399945
ABAT	Other	-0.146992510707641	0.0987085483757301	0.02766634027157
ABCA1	Other	0.0460141086636665	-0.0490667975928235	-0.0913540384009136
ABCA10	Other	0.0548829230908869	-0.031687003944876	0.127791213261599
ABCA12	Other	-0.226542698962087	0.0413808106478927	-0.147645184690148
ABCA13	Other	0.0505564138403612	-0.0237816972673728	-0.191673323748834
ABCA2	Other	0.0443224322708554	0.104030332852435	0.146594357895467
ABCA3	Other	0.0110869370458273	0.157155026298928	-0.123578589558929
ABCA4	Other	-0.0502537677439467	0.106602750200908	-0.101200977274695
ABCA5	Other	-0.0431575787438744	-0.169258842013318	-0.0304000938540646
ABCA6	Other	0.0967864225123867	0.156964989958714	0.0808625336625568
ABCA7	Other	0.101725648535161	-0.0549572163448435	0.0428906483989607
ABCA8	Other	-0.053884769586004	0.0488812478329019	0.0167767599755527
ABCA9	Other	-0.0138933828339112	0.121332261913009	0.0293479079827078
ABCB1	Other	-0.0145595706553341	0.0180218006308148	0.0468307514024603
ABCB10	Other	-0.183512734040539	-0.283537839281324	-0.348262204456993
ABCB11	Other	-0.0760561644800821	-0.2015929195833	-0.0417639255702256
ABCB4	Other	-0.115007038245295	0.0391045108626189	0.00848995844125602
