Gene	Category	CCK	pDNA
A1BG	Other	0.365516195398826	0.357829567617474
A1CF	Other	0.782320847615302	0.718717145927499
A2M	Other	0.163813459139306	0.225281111571884
A2ML1	Other	0.330447886413682	0.187053902054421
A4GALT	Other	0.154039407128419	0.0203277028289784
A4GNT	Other	0.105580268360876	0.096005702629545
AAAS	Other	-0.132060664339395	-0.0805408348798434
AACS	Other	0.221156264545231	0.189162130612891
AADAC	Other	0.0486993552082027	-0.0193633673745109
AADACL2	Other	0.515339421985043	0.442170464218914
AADACL3	Other	0.295907215475128	0.311972833417571
AADACL4	Other	0.767901844597689	0.659770670343157
AADAT	Other	0.534116711954421	0.497669348925689
AAED1	Other	0.0926796069377686	0.18379788871325
AAGAB	Other	0.81529769225209	0.828745831578788
AAK1	Other	0.16317924436823	0.309638849180396
AAMDC	Other	0.597876945611773	0.6274870317887
AAMP	Other	0.246108909091573	0.344390529349492
AANAT	Other	0.385310264284644	0.378415093801025
AAR2	Other	0.0552797672697411	0.0598228975647372
AARD	Other	0.658829869668396	0.493576784853705
AARS	Other	-0.0556031295228239	0.260989781226616
AARS2	Other	0.149257881573599	0.031200147163876
AARSD1	Other	-0.037636446097822	0.161607708834947
AASDH	Other	-0.209094859167017	-0.126761352961834
AASDHPPT	Other	-0.00301970211934842	-0.00858410120620933
AASS	Other	0.245016439771411	0.129394341781777
AATF	Other	-0.472201849107305	-0.445649328154753
AATK	Other	0.0177866817309039	0.110697153529553
ABAT	Other	-0.0928112807356437	-0.0859387400488634
ABCA1	Other	0.65911244235417	0.690581351464193
ABCA10	Other	-0.260992202521997	-0.311321246657867
ABCA12	Other	-0.479038598885905	-0.368102907884457
ABCA13	Other	0.476545509334321	0.531511711726269
ABCA2	Other	0.460201312895881	0.361885605222961
ABCA3	Other	0.336478392454688	0.321590601192746
ABCA4	Other	0.0492557566512864	0.0642064215905307
ABCA5	Other	0.0358386018705075	0.11677744007426
ABCA6	Other	0.198937204948277	0.0873992229037242
ABCA7	Other	-0.416156188876828	-0.446042549073254
ABCA8	Other	-0.170641433726967	-0.174565846467784
ABCA9	Other	0.946353707550517	0.900758111863248
ABCB1	Other	0.549400914766473	0.532636587640493
ABCB10	Other	-0.854669975362645	-0.58289904943636
ABCB11	Other	0.369037577661297	0.4755085808725
ABCB4	Other	-0.102904707322793	-0.0804338510089864
ABCB5	Other	1.16461609583151	1.01922030473234
ABCB6	Other	-0.142551128486612	-0.0197624641370769
ABCB7	Other	-0.490834790448647	-0.359750511186967
ABCB8	Other	0.0666660359632039	-0.12331136100467
ABCB9	Other	0.504461285586412	0.426334706274096
ABCC1	Other	0.474347520774594	0.496655965222447
ABCC10	Other	-0.0140766441365919	0.0347219769861551
ABCC11	Other	-0.112641229602456	-0.180913411593581
ABCC12	Other	0.789031121788801	0.672906621269267
ABCC2	Other	0.776625916437282	0.827196693936733
ABCC3	Other	0.815939023294194	0.761829200112846
ABCC4	Other	-0.233639428523441	-0.26152422888087
ABCC5	Other	0.342812146226148	0.0982040828354405
ABCC6	Other	-0.845759218711285	-0.777233585889064
ABCC8	Other	0.0634782472248137	0.0888809986965075
ABCC9	Other	1.03770591274491	1.00734668324245
ABCD1	Other	-0.508105050518722	-0.486900293639597
ABCD2	Other	0.335983146572339	0.290449001979593
ABCD3	Other	-0.274616450856828	-0.238773550825497
ABCD4	Other	0.0903575542387351	0.238102247510007
ABCE1	Other	0.736435416418243	0.740541086869427
ABCF1	Other	-0.230402197868184	-0.0596838914587074
ABCF2	Other	0.182422926053824	0.252961249586772
ABCF3	Other	0.0106818143408101	-0.0331237604179421
ABCG1	Other	0.0801526712936844	0.588649956886566
ABCG2	Other	0.306260538612012	0.108852853235066
ABCG4	Other	0.653351983217356	0.616127799302119
ABCG5	Other	0.330616302780765	0.223418505701422
ABCG8	Nonessential	0.0662719988448936	0.172675712346233
ABHD1	Other	-0.0552127224097552	-0.00951081290272284
ABHD10	Other	-0.167280006316343	-0.0408698211536554
ABHD11	Other	-0.883564102571973	-0.297362574304616
ABHD12	Other	0.194599336719351	0.199005215649755
ABHD12B	Other	-0.28545401567903	-0.290176143648844
ABHD13	Other	0.47067379158514	0.761433957956539
ABHD14A	Other	0.258654743451644	0.357992218409289
ABHD14B	Other	-0.508622447750233	-0.426648203081421
ABHD15	Other	-0.898890162936967	-0.798678707113099
ABHD16A	Other	0.285918549476945	0.380954748876605
ABHD16B	Other	-0.195057830040451	-0.141932291603971
ABHD17A	Other	-0.0523280827287926	0.0453730693450425
ABHD17B	Other	0.836169866827586	0.76440763732341
ABHD17C	Other	-0.2392647193707	-0.245719847654282
ABHD2	Other	-0.152987103801018	-0.0159361441208919
ABHD3	Other	0.770566353750809	0.699198204431798
ABHD4	Other	0.466174312371906	0.42949505670376
ABHD5	Other	1.53084442463854	1.56387577268308
ABHD6	Other	0.925199556646112	1.06461295218682
ABHD8	Other	-0.300019632264973	-0.202138625503304
ABI1	Other	0.260530157898885	0.336368821954689
ABI2	Other	0.549102084965369	0.45769529293978
ABI3	Other	0.0827666908144149	0.12253383130412
ABI3BP	Other	0.0220504222018292	-0.0256329272081412
ABL1	Other	-0.456014804672428	-0.482965357664047
ABL2	Other	0.749195882066576	0.739495507040836
ABLIM1	Other	-0.175459139074559	-0.139621146234283
ABLIM2	Other	-0.296284467983659	-0.308151366874151
ABLIM3	Other	0.524548414791802	0.39567633090297
ABR	Other	-0.502768821261834	-0.496121244237158
ABRA	Other	-0.415530176764836	-0.542766681494729
ABRACL	Other	0.305406930177387	0.305833651534918
ABT1	Other	-0.242399822954957	-0.0974229432916941
ABTB1	Other	0.261380021592026	0.252746273563549
ABTB2	Other	-0.227978428582328	-0.323123900321434
ACAA1	Other	-0.603680086993683	-0.547921305801843
ACAA2	Other	0.993654925820064	1.01930346382728
ACACA	Other	-0.123122260565896	-0.166462429391509
ACACB	Other	1.10059844273435	1.23447551197668
ACAD10	Other	-0.183172253852393	-0.104865385649489
ACAD11	Other	0.51675749286746	0.551303795211389
ACAD8	Other	0.616762522678124	0.283815163992702
ACAD9	Other	-0.143818116632544	-0.100126389892595
ACADL	Other	0.0182076127573451	-0.0724856688328387
ACADM	Other	0.260671171408436	0.155558040737884
ACADS	Other	-0.0644186338618008	0.164697224622315
ACADSB	Other	0.478366504262217	0.555681287591709
ACADVL	Other	0.215895755513273	0.154249715324465
ACAN	Other	0.027590391327788	-0.0137192490920902
ACAP1	Other	0.117578017936775	0.135416280083716
ACAP2	Other	0.292162439102002	0.227878004655266
ACAP3	Other	0.659411221384869	0.664888373118494
ACAT1	Other	0.694975888774713	0.599382755989889
ACAT2	Other	0.730930581655941	0.51170421367645
ACBD3	Other	-0.218664186602612	-0.15981442834966
ACBD4	Other	0.0760757132216988	0.07473209163497
ACBD5	Other	-0.308885638926931	-0.363489793379423
ACBD6	Other	0.616221506314929	0.699132350998197
ACBD7	Other	0.647326052448761	0.536748441621399
ACCS	Other	0.236706172660383	-0.0799117088468517
ACCSL	Nonessential	-0.00751759355174766	-0.01131184110127
ACD	Other	-0.617152225149848	-0.37895527233727
ACE	Other	-0.269532172822677	-0.316810507192493
ACE2	Other	0.557463628472181	0.493565857509543
ACER1	Other	0.692803360627024	0.416183393742705
ACER2	Other	-0.0786360348475988	-0.0926377609841406
ACER3	Other	0.477672869541602	0.429697017528893
ACHE	Other	-0.726974660617529	-0.600800434499702
ACIN1	Other	0.180480174439308	0.21884931641528
ACKR1	Other	0.437810706545967	0.528201256261232
ACKR2	Other	1.08947283860566	0.938206075901999
ACKR3	Other	0.452672378950337	0.27529222618024
ACKR4	Other	0.517325171794738	0.664210594978441
ACLY	Other	-0.0396137083360152	-0.0959307483154559
ACMSD	Other	0.249810915919821	0.178586774420038
ACN9	Other	0.0167927732067163	-0.107867688891093
ACO1	Other	0.428823326693611	0.375201074892752
ACO2	Other	0.900912682280599	0.957454213421695
ACOT1	Other	-0.291448824162292	-0.464794928049663
ACOT11	Other	-0.153412978025314	-0.268551240571829
ACOT12	Other	0.2630787731154	0.446393851065144
ACOT13	Other	-0.725732641818483	-0.651758283629787
ACOT2	Other	0.0866581425940258	-0.00463161954801256
ACOT4	Other	-0.0815587226615837	-0.0746038273792269
ACOT6	Other	0.2505410367037	0.248915395234673
ACOT7	Other	-0.120113948390875	-0.261431125292707
ACOT8	Other	-0.431503897400787	-0.516617421105581
ACOT9	Other	0.397611389430673	0.285886983808245
ACOX1	Other	0.488160364108529	0.551972589927675
ACOX2	Other	0.0495716844673409	-0.0264984027549708
ACOX3	Other	-0.091719523153011	-0.128868663253151
ACOXL	Other	0.262556189960305	0.45287155570244
ACP1	Other	-0.294079291996745	-0.420485198044717
ACP2	Other	-0.313314012715238	-0.296945416939816
ACP5	Other	1.25522225615655	1.13586169568645
ACP6	Other	0.642137487955244	0.819833287914584
ACPP	Other	-0.583594500591838	-0.655713206583265
ACPT	Other	-0.112706205279428	-0.214007533746525
ACR	Other	0.910700346036098	0.734051770436923
ACRBP	Other	0.497863849174244	0.302103774801521
ACRC	Other	0.960198032133757	1.03855299362362
ACRV1	Other	1.07507172560752	0.970434745333119
ACSBG1	Other	0.620239828505028	0.488750998301361
ACSBG2	Other	0.847352386253765	0.869748003711369
ACSF2	Other	0.583222437195918	0.517581645467452
ACSF3	Other	0.243140551391762	0.130468924482895
ACSL1	Other	0.381690863913831	0.363869376704145
ACSL3	Other	0.315307046168403	0.276089855604084
ACSL4	Other	0.531665388410478	0.394281970082314
ACSL5	Other	0.611139535497236	0.449611902587946
ACSL6	Other	0.264127127557122	0.191135780187277
ACSM1	Other	0.449845230055451	0.249086817057307
