Gene	Category	CCK-81-311cas9 Rep A p2	CCK-81-311cas9 Rep B p2	CCK-81-311cas9 Rep C p2	pDNA_0	pDNA_2
A1BG	Other	0.321839365932104	0.424579031693332	0.350130188571042	0.384546346318284	0.331112788916665
A1CF	Other	0.810191060516308	0.720326208573901	0.816445273755698	0.685333467522716	0.752100824332282
A2M	Other	0.181010144832254	0.139031453693412	0.171398778892252	0.238666545416273	0.211895677727495
A2ML1	Other	0.358893682051991	0.317247369479702	0.315202607709352	0.158479991900405	0.215627812208437
A4GALT	Other	0.184027150467914	0.0718231689326449	0.206267901984698	0.0400442441253326	0.000611161532624253
A4GNT	Other	0.0134495974292029	0.195696636793423	0.107594570860003	0.0857457169117194	0.106265688347371
AAAS	Other	-0.115036819836203	-0.115725237660261	-0.165419935521721	-0.118647484764802	-0.0424341849948848
AACS	Other	0.318260393992386	0.190842935788546	0.15436546385476	0.131416978958093	0.246907282267689
AADAC	Other	0.141850608759504	0.0484741026435806	-0.0442266457784761	-0.0230014210855396	-0.0157253136634822
AADACL2	Other	0.549325860276496	0.479793054415468	0.516899351263163	0.458167846503854	0.426173081933973
AADACL3	Other	0.273301193637266	0.338873911494808	0.275546541293311	0.321248193131763	0.30269747370338
AADACL4	Other	0.749031352424459	0.759262284959736	0.795411896408872	0.677841918143769	0.641699422542544
AADAT	Other	0.468173340190789	0.510660432789267	0.623516362883209	0.574028470858734	0.421310226992643
AAED1	Other	0.153956772216236	0.13816956343608	-0.0140875148390106	0.177230981942598	0.190364795483902
AAGAB	Other	0.874225478845394	0.74323356577574	0.828434032135137	0.914760794303192	0.742730868854384
AAK1	Other	0.225940166968393	0.0697972575306163	0.19380030860568	0.347967486695213	0.271310211665579
AAMDC	Other	0.689657853239473	0.536348926216431	0.567624057379416	0.569127973290557	0.685846090286843
AAMP	Other	0.0820549024328322	0.342470768798754	0.313801056043133	0.270819390720709	0.417961667978275
AANAT	Other	0.350386997694535	0.464026870903601	0.341516924255796	0.414667034087773	0.342163153514277
AAR2	Other	0.0204341748035092	0.139546142492645	0.00585898451306915	0.11904876635358	0.000597028775894601
AARD	Other	0.619348207982212	0.666014310120328	0.691127090902648	0.503110079309335	0.484043490398075
AARS	Other	-0.0318542527192357	-0.0629208417520124	-0.0720342940972237	0.174347116001528	0.347632446451705
AARS2	Other	0.119830852558504	0.143355978003836	0.184586814158456	0.0761930172886436	-0.0137927229608916
AARSD1	Other	0.00257927937475847	0.0196491142222754	-0.1351377318905	0.276253556165109	0.0469618615047841
AASDH	Other	-0.129697305506973	-0.227800233339764	-0.269787038654316	-0.034955758452992	-0.218566947470677
AASDHPPT	Other	0.0993896267965085	-0.0362938232022861	-0.0721549099522676	-0.0957088116551131	0.0785406092426945
AASS	Other	0.367649745064247	0.280010709725111	0.0873888645248741	0.180901360172967	0.0778873233905859
AATF	Other	-0.569154295356583	-0.579148752608744	-0.268302499356589	-0.409576965563354	-0.481721690746152
AATK	Other	0.0508888881210808	-0.0286388529179273	0.0311100099895581	0.138652633605633	0.0827416734534717
