Gene	Category	CCK_biased	CCK_biased.1	CCK	Z	P(-)	FDR(-)	P(+)	FDR(+)	P(replicates)	FDR(replicates)	P(sgRNAs)	FDR(sgRNAs)
A1BG	Other	0.00768662778135197	0.00768662778135197	0.00824613699582974	NA	NA	NA	NA	NA	0.990298113505058	0.999999925471851	1.00000027858723	1
A1CF	Other	0.0636037016878034	0.0636037016878034	0.0630843226729679	NA	NA	NA	NA	NA	0.991141180117768	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
A2M	Other	-0.0614676524325782	-0.0614676524325782	-0.0618620424208094	NA	NA	NA	NA	NA	0.984502273968679	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
A2ML1	Other	0.143393984359261	0.143393984359261	0.143583403579139	NA	NA	NA	NA	NA	0.993186171911486	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
A4GALT	Other	0.133711704299441	0.133711704299441	0.132821324121059	NA	NA	NA	NA	NA	0.988539706179493	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
A4GNT	Other	0.00957456573133117	0.00957456573133117	0.010043355279223	NA	NA	NA	NA	NA	0.995273890099773	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
AAAS	Other	-0.0515198294595514	-0.0515198294595514	-0.0509365951723215	NA	NA	NA	NA	NA	0.98095741104429	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
AACS	Other	0.0319941339323399	0.0319941339323399	0.0324875523053908	NA	NA	NA	NA	NA	0.994757950453239	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
AADAC	Other	0.0680627225827136	0.0680627225827136	0.069009400057405	NA	NA	NA	NA	NA	0.990693603495505	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
AADACL2	Other	0.0731689577661291	0.0731689577661291	0.0731246610540666	NA	NA	NA	NA	NA	0.998840555145962	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
AADACL3	Other	-0.016065617942443	-0.016065617942443	-0.0155352592944264	NA	NA	NA	NA	NA	0.986802926184868	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
AADACL4	Other	0.108131174254532	0.108131174254532	0.107769639652674	NA	NA	NA	NA	NA	0.985783155204435	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
AADAT	Other	0.0364473630287327	0.0364473630287327	0.0358253266609844	NA	NA	NA	NA	NA	0.992804447415644	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
AAED1	Other	-0.0911182817754816	-0.0911182817754816	-0.089639921188233	NA	NA	NA	NA	NA	0.985106458400996	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
AAGAB	Other	-0.013448139326698	-0.013448139326698	-0.0144075132027469	NA	NA	NA	NA	NA	0.986962671764268	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
AAK1	Other	-0.146459604812166	-0.146459604812166	-0.148302808708389	NA	NA	NA	NA	NA	0.98028755187392	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
AAMDC	Other	-0.0296100861769268	-0.0296100861769268	-0.0301132787872734	NA	NA	NA	NA	NA	0.994349781681808	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
AAMP	Other	-0.098281620257919	-0.098281620257919	-0.0970757051906256	NA	NA	NA	NA	NA	0.992176352763033	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
AANAT	Other	0.00689517048361906	0.00689517048361906	0.00771293984183237	NA	NA	NA	NA	NA	0.988997205518109	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
AAR2	Other	-0.00454313029499609	-0.00454313029499609	-0.00354484241565438	NA	NA	NA	NA	NA	0.987471228519214	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
AARD	Other	0.165253084814691	0.165253084814691	0.164844389619616	NA	NA	NA	NA	NA	0.989290208582415	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
AARS	Other	-0.31659291074944	-0.31659291074944	-0.316342835349223	NA	NA	NA	NA	NA	0.989865463945091	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
AARS2	Other	0.118057734409723	0.118057734409723	0.117504937275787	NA	NA	NA	NA	NA	0.983948946789257	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
AARSD1	Other	-0.199244154932769	-0.199244154932769	-0.198622794203655	NA	NA	NA	NA	NA	0.993072420472234	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
AASDH	Other	-0.082333506205183	-0.082333506205183	-0.0819431787803928	NA	NA	NA	NA	NA	0.994988624016629	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
AASDHPPT	Other	0.00556439908686091	0.00556439908686091	0.00597992039241706	NA	NA	NA	NA	NA	0.995791381017707	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
AASS	Other	0.115622097989634	0.115622097989634	0.117453546532423	NA	NA	NA	NA	NA	0.988309205424232	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
AATF	Other	-0.0265525209525524	-0.0265525209525524	-0.0295393771734268	NA	NA	NA	NA	NA	0.984417417903232	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
AATK	Other	-0.0929104717986487	-0.0929104717986487	-0.0936058030839196	NA	NA	NA	NA	NA	0.98527925264072	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABAT	Other	-0.00687254068678027	-0.00687254068678027	-0.00645988426724706	NA	NA	NA	NA	NA	0.996998966672838	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABCA1	Other	-0.0314689091100235	-0.0314689091100235	-0.0310988936630295	NA	NA	NA	NA	NA	0.995153780889576	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABCA10	Other	0.0503290441358698	0.0503290441358698	0.0491428797931622	NA	NA	NA	NA	NA	0.986325977353174	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABCA12	Other	-0.110935691001447	-0.110935691001447	-0.108417214570827	NA	NA	NA	NA	NA	0.9830866342768	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABCA13	Other	-0.0549662023919486	-0.0549662023919486	-0.0534371957582694	NA	NA	NA	NA	NA	0.98855285035118	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABCA2	Other	0.0983157076729194	0.0983157076729194	0.0977416061710943	NA	NA	NA	NA	NA	0.989555322200983	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABCA3	Other	0.0148877912619421	0.0148877912619421	0.0170387395515061	NA	NA	NA	NA	NA	0.985884253076396	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABCA4	Other	-0.0149506649392443	-0.0149506649392443	-0.0132824675301137	NA	NA	NA	NA	NA	0.985791373789558	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABCA5	Other	-0.0809388382037522	-0.0809388382037522	-0.0826627830516382	NA	NA	NA	NA	NA	0.979952890026794	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABCA6	Other	0.111537982044553	0.111537982044553	0.11204287500817	NA	NA	NA	NA	NA	0.988656513005838	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABCA7	Other	0.0298863601964262	0.0298863601964262	0.029194181900867	NA	NA	NA	NA	NA	0.992057292418978	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABCA8	Other	0.00392441274081683	0.00392441274081683	0.00425105261329616	NA	NA	NA	NA	NA	0.994262578468121	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABCA9	Other	0.0455955956872685	0.0455955956872685	0.0460790806974319	NA	NA	NA	NA	NA	0.993577567929611	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
