Gene	Category	DAN	Size	rho	p	FDR	depleted	enriched
NONTARGETING	Nontargeting	0.221027670008961	1000	2.12494556964451e-102	2.70135056722959e-07	0.000309405940594059	NA	1
RIC8A	Other	0.793455431698429	4	6.16414795740492e-11	2.70135056722959e-07	0.000309405940594059	NA	2
SS18L2	Other	-1.63836362571317	4	1.59493943693258e-09	2.70135056722959e-07	0.000309405940594059	1	NA
PSMB6	Other	-1.56181499219102	4	2.05652903212731e-09	2.70135056722959e-07	0.000309405940594059	2	NA
DUX4L4	Other	-1.6487944655496	4	8.20042881426251e-09	2.70135056722959e-07	0.000309405940594059	3	NA
DUX4L7	Nonessential	-1.6487944655496	4	8.20042881426251e-09	2.70135056722959e-07	0.000309405940594059	4	NA
RAN	Essential	-1.63777206256298	4	8.33961261862041e-09	2.70135056722959e-07	0.000309405940594059	5	NA
EIF1AX	Essential	-1.53438528826439	4	8.62328790085229e-09	2.70135056722959e-07	0.000309405940594059	6	NA
PSMB3	Essential	-1.55993286900116	4	9.21228703944785e-09	2.70135056722959e-07	0.000309405940594059	7	NA
POLR2L	Other	-1.55428989037085	4	1.18141212395738e-08	2.70135056722959e-07	0.000309405940594059	8	NA
HSPE1-MOB4	Other	-1.3014998722042	6	1.63691068599112e-08	2.70135056722959e-07	0.000309405940594059	9	NA
EEF1A1	Other	-1.49039316832941	4	1.93208492441961e-08	2.70135056722959e-07	0.000309405940594059	10	NA
DUX4L1	Other	-1.58087571440636	4	2.51430664231034e-08	2.70135056722959e-07	0.000309405940594059	11	NA
DUX4L3	Other	-1.58087571440636	4	2.51430664231034e-08	2.70135056722959e-07	0.000309405940594059	12	NA
HSPE1	Essential	-1.51800539840415	4	2.76914612234001e-08	2.70135056722959e-07	0.000309405940594059	13	NA
BUB3	Other	-1.60523948366116	4	3.41638241035196e-08	2.70135056722959e-07	0.000309405940594059	14	NA
RPL17-C18ORF32	Other	-1.51061037682771	5	6.85391415277845e-09	8.10405170168878e-07	0.000512120177534995	15	NA
POLR2J	Other	-1.39124591156908	4	4.77938408361771e-08	8.10405170168878e-07	0.000512120177534995	16	NA
POLR2J2	Other	-1.39124591156908	4	4.77938408361771e-08	8.10405170168878e-07	0.000512120177534995	17	NA
POLR2J3	Other	-1.39124591156908	4	4.77938408361771e-08	8.10405170168878e-07	0.000512120177534995	18	NA
NUP43	Other	-1.35256562466593	4	7.24114352237953e-08	8.10405170168878e-07	0.000512120177534995	19	NA
RPS15A	Essential	-1.30915782090401	4	8.73826616795536e-08	8.10405170168878e-07	0.000512120177534995	20	NA
PSMD14	Other	-1.36444100576328	4	8.76548816033221e-08	8.10405170168878e-07	0.000512120177534995	21	NA
RPL12	Essential	-1.54051545789814	4	9.99747465841855e-08	8.10405170168878e-07	0.000512120177534995	22	NA
KRAS	Other	-1.34396561547459	4	1.08027675935802e-07	8.10405170168878e-07	0.000512120177534995	23	NA
C1ORF109	Other	-1.58019630613034	4	1.50029966063326e-07	8.10405170168878e-07	0.000512120177534995	24	NA
MYC	Other	-1.56906636911084	4	1.62644091680114e-07	8.10405170168878e-07	0.000512120177534995	25	NA
PSMA6	Essential	-1.29754108115038	4	2.06321846791378e-07	8.10405170168878e-07	0.000512120177534995	26	NA
