Gene	Category	DAN
A1BG	Other	0.317557571343313
A1CF	Other	0.0515935415302443
A2M	Other	0.144640658044443
A2ML1	Other	0.161088633464539
A4GALT	Other	0.109284170270487
A4GNT	Other	0.0283346675301146
AAAS	Other	-0.30701410241306
AACS	Other	0.275452891645381
AADAC	Other	0.0994116289633551
AADACL2	Other	0.177163303447473
AADACL3	Other	0.0725371663566194
AADACL4	Other	0.121744486181795
AADAT	Other	0.211589917471679
AAED1	Other	0.112019347253737
AAGAB	Other	0.15136633289571
AAK1	Other	-0.0456537778257644
AAMDC	Other	0.104711790491159
AAMP	Other	-0.710400376315231
AANAT	Other	-0.0188858255863941
AAR2	Other	0.102153727608365
AARD	Other	0.0553953129001392
AARS	Other	-1.09564099022454
AARS2	Other	-0.262741792525446
AARSD1	Other	-0.0745028475003591
AASDH	Other	-0.0286719847311058
AASDHPPT	Other	-0.297608057646192
AASS	Other	0.0145873941487934
AATF	Other	-0.46858612244145
AATK	Other	-0.0107220271940629
ABAT	Other	-0.354593669037473
ABCA1	Other	0.148052481251519
ABCA10	Other	0.0340118242063312
ABCA12	Other	0.125315910650705
ABCA13	Other	0.0257483719113067
ABCA2	Other	0.0665288317628643
ABCA3	Other	0.140377473044029
ABCA4	Other	0.0880961181583498
ABCA5	Other	-0.0324903756129912
ABCA6	Other	0.0843426539979757
ABCA7	Other	0.203489657866551
ABCA8	Other	0.0391557534996578
ABCA9	Other	0.162681228515588
ABCB1	Other	0.0319679841711986
ABCB10	Other	-0.203479628005717
ABCB11	Other	0.0111142031972284
ABCB4	Other	0.0458266145695986
ABCB5	Other	-0.0513327774939244
ABCB6	Other	0.176165332858519
ABCB7	Other	-0.825087782541035
ABCB8	Other	0.160023633436436
ABCB9	Other	-0.0481804001373635
ABCC1	Other	0.0549318571140805
ABCC10	Other	0.0890535910038803
ABCC11	Other	0.31010323332513
ABCC12	Other	0.208200908062836
ABCC2	Other	0.0715581347494642
ABCC3	Other	-0.0871872620425671
ABCC4	Other	0.23396854987587
ABCC5	Other	0.308537456589984
ABCC6	Other	-0.373173996826902
ABCC8	Other	0.178088521779117
ABCC9	Other	-0.559287594244344
ABCD1	Other	-0.120973956720344
ABCD2	Other	0.0576874778674301
ABCD3	Other	-0.0100701517270032
ABCD4	Other	-0.00341871488158171
ABCE1	Other	-0.685244492531268
ABCF1	Other	-0.524538063110577
ABCF2	Other	0.0952138321528235
ABCF3	Other	0.144582063400672
ABCG1	Other	-0.131553707126637
ABCG2	Other	0.271230635892728
ABCG4	Other	0.0291008905396976
ABCG5	Other	0.0758265786906314
ABCG8	Nonessential	-0.0211394837674079
ABHD1	Other	0.115738649241646
