Gene	Category	DAN-G-311Cas9 Rep A p6	DAN-G-311Cas9 Rep B p6	DAN-G-311Cas9 Rep C p6	DAN-G-311Cas9 Rep D p6
A1BG	Other	0.297667028407832	0.379129760815095	0.231542098088597	0.361891398061727
A1CF	Other	0.0295557319134832	0.0915541869994787	0.0582505834281641	0.027013663779851
A2M	Other	0.157906695566395	0.194746104127611	0.135919722561657	0.0899901099221104
A2ML1	Other	0.136986751334185	0.196935159912489	0.144119888625501	0.166312733985983
A4GALT	Other	0.217793212917876	0.0520964145049584	0.13011394314375	0.0371331105153643
A4GNT	Other	0.00161855120583815	-0.00907506618872264	0.102709128512111	0.0180860565912314
AAAS	Other	-0.201237065662595	-0.325159081578826	-0.266954463924105	-0.434705798486714
AACS	Other	0.301832801563588	0.241558751414769	0.310663274802926	0.247756738800242
AADAC	Other	0.212967013297497	-0.0202429447784003	0.116513480258518	0.0884089670758051
AADACL2	Other	0.131564457220963	0.171330732367884	0.223857566891826	0.181900457309218
AADACL3	Other	0.107727274900151	0.0359114521176771	0.129373007588501	0.0171369308201483
AADACL4	Other	0.18714800677293	0.156363992788105	0.0651146585286437	0.0783512866375029
AADAT	Other	0.261033094391921	0.230094182253823	0.235740241806691	0.11949215143428
AAED1	Other	0.0834846914467782	0.104537557865304	0.192762417100731	0.0672927226021348
AAGAB	Other	0.183370958750026	0.122540560108982	0.179068898265184	0.120484914458647
AAK1	Other	-0.0187438635987613	-0.0394370757871729	-0.0815326667048581	-0.0429015052122653
AAMDC	Other	0.155655922705378	0.137581114939629	0.0822547022581259	0.0433554220615049
AAMP	Other	-0.607741780283418	-0.82594557904344	-0.702003737027055	-0.705910408907013
AANAT	Other	-0.0424630140683668	0.176044054223739	-0.099560314201878	-0.109564028299071
AAR2	Other	0.105619949222922	0.0210512752101086	0.105969070699267	0.175974615301163
AARD	Other	0.0868726721575738	-0.0500378400960671	0.0389831008440232	0.145763318695027
AARS	Other	-1.02491985848814	-1.13420224504497	-1.14036378413258	-1.08307807323248
AARS2	Other	-0.286279509297333	-0.195328165878682	-0.315835364686451	-0.253524130239317
AARSD1	Other	-0.0869840147798745	0.0579378097063606	-0.0715600342710295	-0.197405150656893
AASDH	Other	0.0147700225870447	-0.0778167449775787	0.0559024970234036	-0.107543713557293
AASDHPPT	Other	-0.348640183681306	-0.187477950763423	-0.358748231422626	-0.295565864717415
AASS	Other	-0.0484921672961392	0.2634302338417	-0.0516458588630726	-0.104942631087315
AATF	Other	-0.419894170953462	-0.605755720266775	-0.384490652149637	-0.464203946395925
AATK	Other	0.075508139137728	-0.111670723671101	0.0194761791081879	-0.0262017033510664
ABAT	Other	-0.292218451715953	-0.300177664277099	-0.391476492133736	-0.434502068023103
ABCA1	Other	0.144998414063077	0.2115321931006	0.140787328138196	0.0948919897042036
ABCA10	Other	-0.0113203167063203	0.0710049251715815	-0.0727984924593025	0.149161180819366
ABCA12	Other	0.0374531041153261	0.205925820397685	0.1714713294006	0.0864133886892083
ABCA13	Other	0.0402668771609872	0.0260990115636256	0.00868534406094912	0.0279422548596648
ABCA2	Other	-0.0120862716454846	0.0959068649545188	0.118118140414611	0.0641765933278119
ABCA3	Other	0.160035762702271	0.0873302100588739	0.178013761004414	0.136130158410559
ABCA4	Other	0.0746796706783831	0.0306168011025708	0.189120396768724	0.0579676040837217
