Gene	Category	DAN	pDNA
A1BG	Other	0.675387138960787	0.357829567617474
A1CF	Other	0.770310687457743	0.718717145927499
A2M	Other	0.369921769616327	0.225281111571884
A2ML1	Other	0.348142535518961	0.187053902054421
A4GALT	Other	0.129611873099466	0.0203277028289784
A4GNT	Other	0.12434037015966	0.096005702629545
AAAS	Other	-0.387554937292903	-0.0805408348798434
AACS	Other	0.464615022258272	0.189162130612891
AADAC	Other	0.0800482615888442	-0.0193633673745109
AADACL2	Other	0.619333767666386	0.442170464218914
AADACL3	Other	0.384509999774191	0.311972833417571
AADACL4	Other	0.781515156524952	0.659770670343157
AADAT	Other	0.709259266397368	0.497669348925689
AAED1	Other	0.295817235966987	0.18379788871325
AAGAB	Other	0.980112164474498	0.828745831578788
AAK1	Other	0.263985071354632	0.309638849180396
AAMDC	Other	0.732198822279859	0.6274870317887
AAMP	Other	-0.36600984696574	0.344390529349492
AANAT	Other	0.359529268214631	0.378415093801025
AAR2	Other	0.161976625173102	0.0598228975647372
AARD	Other	0.548972097753844	0.493576784853705
AARS	Other	-0.834651208997928	0.260989781226616
AARS2	Other	-0.23154164536157	0.031200147163876
AARSD1	Other	0.0871048613345875	0.161607708834947
AASDH	Other	-0.15543333769294	-0.126761352961834
AASDHPPT	Other	-0.306192158852402	-0.00858410120620933
AASS	Other	0.14398173593057	0.129394341781777
AATF	Other	-0.914235450596203	-0.445649328154753
AATK	Other	0.0999751263354897	0.110697153529553
ABAT	Other	-0.440532409086336	-0.0859387400488634
ABCA1	Other	0.838633832715713	0.690581351464193
ABCA10	Other	-0.277309422451536	-0.311321246657867
ABCA12	Other	-0.242786997233753	-0.368102907884457
ABCA13	Other	0.557260083637576	0.531511711726269
ABCA2	Other	0.428414436985826	0.361885605222961
ABCA3	Other	0.461968074236775	0.321590601192746
ABCA4	Other	0.152302539748881	0.0642064215905307
ABCA5	Other	0.0842870644612685	0.11677744007426
ABCA6	Other	0.1717418769017	0.0873992229037242
ABCA7	Other	-0.242552891206703	-0.446042549073254
ABCA8	Other	-0.135410092968126	-0.174565846467784
ABCA9	Other	1.06343934037884	0.900758111863248
ABCB1	Other	0.564604571811692	0.532636587640493
ABCB10	Other	-0.786378677442077	-0.58289904943636
ABCB11	Other	0.486622784069728	0.4755085808725
