Gene	Category	DAN-G-311Cas9 Rep A p6	DAN-G-311Cas9 Rep B p6	DAN-G-311Cas9 Rep C p6	DAN-G-311Cas9 Rep D p6	pDNA_0	pDNA_2
A1BG	Other	0.655496596025306	0.736959328432569	0.589371665706071	0.719720965679201	0.384546346318284	0.331112788916665
A1CF	Other	0.748272877840982	0.810271332926978	0.776967729355663	0.74573080970735	0.685333467522716	0.752100824332282
A2M	Other	0.383187807138279	0.420027215699495	0.361200834133541	0.315271221493995	0.238666545416273	0.211895677727495
A2ML1	Other	0.324040653388606	0.38398906196691	0.331173790679922	0.353366636040405	0.158479991900405	0.215627812208437
A4GALT	Other	0.238120915746855	0.0724241173339368	0.150441645972728	0.0574608133443427	0.0400442441253326	0.000611161532624253
A4GNT	Other	0.0976242538353831	0.0869306364408223	0.198714831141656	0.114091759220776	0.0857457169117194	0.106265688347371
AAAS	Other	-0.281777900542438	-0.405699916458669	-0.347495298803948	-0.515246633366558	-0.118647484764802	-0.0424341849948848
AACS	Other	0.490994932176479	0.43072088202766	0.499825405415817	0.436918869413133	0.131416978958093	0.246907282267689
AADAC	Other	0.193603645922986	-0.0396063121529112	0.0971501128840072	0.0690455997012942	-0.0230014210855396	-0.0157253136634822
AADACL2	Other	0.573734921439876	0.613501196586797	0.66602803111074	0.624070921528132	0.458167846503854	0.426173081933973
AADACL3	Other	0.419700108317723	0.347884285535248	0.441345841006072	0.32910976423772	0.321248193131763	0.30269747370338
AADACL4	Other	0.846918677116087	0.816134663131261	0.7248853288718	0.73812195698066	0.677841918143769	0.641699422542544
AADAT	Other	0.75870244331761	0.727763531179512	0.73340959073238	0.617161500359969	0.574028470858734	0.421310226992643
AAED1	Other	0.267282580160028	0.288335446578554	0.376560305813982	0.251090611315385	0.177230981942598	0.190364795483902
AAGAB	Other	1.01211679032881	0.95128639168777	1.00781472984397	0.949230746037436	0.914760794303192	0.742730868854384
AAK1	Other	0.290894985581635	0.270201773393223	0.228106182475538	0.266737343968131	0.347967486695213	0.271310211665579
AAMDC	Other	0.783142954494078	0.765068146728329	0.709741734046826	0.670842453850205	0.569127973290557	0.685846090286843
AAMP	Other	-0.263351250933927	-0.481555049693948	-0.357613207677563	-0.361519879557521	0.270819390720709	0.417961667978275
AANAT	Other	0.335952079732658	0.554459148024764	0.278854779599147	0.268851065501954	0.414667034087773	0.342163153514277
AAR2	Other	0.165442846787659	0.0808741727748458	0.165791968264004	0.2357975128659	0.11904876635358	0.000597028775894601
AARD	Other	0.580449457011279	0.443538944757638	0.532559885697728	0.639340103548732	0.503110079309335	0.484043490398075
AARS	Other	-0.763930077261529	-0.873212463818356	-0.879374002905962	-0.822088292005864	0.174347116001528	0.347632446451705
AARS2	Other	-0.255079362133457	-0.164128018714806	-0.284635217522575	-0.222323983075441	0.0761930172886436	-0.0137927229608916
AARSD1	Other	0.0746236940550721	0.219545518541307	0.0900476745639171	-0.0357974418219464	0.276253556165109	0.0469618615047841
AASDH	Other	-0.11199133037479	-0.204578097939413	-0.0708588559384309	-0.234305066519127	-0.034955758452992	-0.218566947470677
AASDHPPT	Other	-0.357224284887515	-0.196062051969632	-0.367332332628835	-0.304149965923624	-0.0957088116551131	0.0785406092426945
AASS	Other	0.0809021744856375	0.392824575623477	0.0777484829187041	0.0244517106944621	0.180901360172967	0.0778873233905859
AATF	Other	-0.865543499108215	-1.05140504842153	-0.83013998030439	-0.909853274550678	-0.409576965563354	-0.481721690746152
AATK	Other	0.186205292667281	-0.000973570141548507	0.130173332637741	0.0844954501784862	0.138652633605633	0.0827416734534717
ABAT	Other	-0.378157191764817	-0.386116404325963	-0.477415232182599	-0.520440808071967	-0.083001335498271	-0.0888761445994559
ABCA1	Other	0.835579765527271	0.902113544564793	0.83136867960239	0.785473341168397	0.641680475638658	0.739482227289729
ABCA10	Other	-0.322641563364187	-0.240316321486286	-0.38411973911717	-0.162160065838501	-0.300826396367506	-0.321816096948229
