sgRNA,Gene,Category
A1BG-1,A1BG,Other
A1BG-2,A1BG,Other
A1BG-3,A1BG,Other
A1BG-4,A1BG,Other
A2M-1,A2M,Other
A2M-2,A2M,Other
A2M-3,A2M,Other
A2M-4,A2M,Other
NAT1-1,NAT1,Other
NAT1-2,NAT1,Other
NAT1-3,NAT1,Other
NAT1-4,NAT1,Other
NAT2-1,NAT2,Other
NAT2-2,NAT2,Other
NAT2-3,NAT2,Other
NAT2-4,NAT2,Other
SERPINA3-1,SERPINA3,Other
SERPINA3-2,SERPINA3,Other
SERPINA3-3,SERPINA3,Other
SERPINA3-4,SERPINA3,Other
AADAC-1,AADAC,Other
AADAC-2,AADAC,Other
AADAC-3,AADAC,Other
AADAC-4,AADAC,Other
AAMP-1,AAMP,Other
AAMP-2,AAMP,Other
AAMP-3,AAMP,Other
AAMP-4,AAMP,Other
AANAT-1,AANAT,Other
AANAT-2,AANAT,Other
AANAT-3,AANAT,Other
AANAT-4,AANAT,Other
AARS-1,AARS,Other
AARS-2,AARS,Other
AARS-3,AARS,Other
AARS-4,AARS,Other
ABAT-1,ABAT,Other
ABAT-2,ABAT,Other
ABAT-3,ABAT,Other
ABAT-4,ABAT,Other
ABCA1-1,ABCA1,Other
ABCA1-2,ABCA1,Other
ABCA1-3,ABCA1,Other
ABCA1-4,ABCA1,Other
ABCA2-1,ABCA2,Other
ABCA2-2,ABCA2,Other
ABCA2-3,ABCA2,Other
ABCA2-4,ABCA2,Other
ABCA3-1,ABCA3,Other
ABCA3-2,ABCA3,Other
ABCA3-3,ABCA3,Other
ABCA3-4,ABCA3,Other
ABCB7-1,ABCB7,Other
ABCB7-2,ABCB7,Other
ABCB7-3,ABCB7,Other
ABCB7-4,ABCB7,Other
ABCF1-1,ABCF1,Other
ABCF1-2,ABCF1,Other
ABCF1-3,ABCF1,Other
ABCF1-4,ABCF1,Other
ABCA4-1,ABCA4,Other
ABCA4-2,ABCA4,Other
ABCA4-3,ABCA4,Other
ABCA4-4,ABCA4,Other
ABL1-1,ABL1,Other
ABL1-2,ABL1,Other
ABL1-3,ABL1,Other
ABL1-4,ABL1,Other
AOC1-1,AOC1,Other
AOC1-2,AOC1,Other
AOC1-3,AOC1,Other
AOC1-4,AOC1,Other
ABL2-1,ABL2,Other
ABL2-2,ABL2,Other
ABL2-3,ABL2,Other
ABL2-4,ABL2,Other
ABO-1,ABO,Other
ABO-2,ABO,Other
ABO-3,ABO,Other
ABO-4,ABO,Other
ABR-1,ABR,Other
ABR-2,ABR,Other
ABR-3,ABR,Other
ABR-4,ABR,Other
ACAA1-1,ACAA1,Other
ACAA1-2,ACAA1,Other
ACAA1-3,ACAA1,Other
ACAA1-4,ACAA1,Other
ACACA-1,ACACA,Other
ACACA-2,ACACA,Other
ACACA-3,ACACA,Other
ACACA-4,ACACA,Other
ACACB-1,ACACB,Other
ACACB-2,ACACB,Other
ACACB-3,ACACB,Other
ACACB-4,ACACB,Other
ACADL-1,ACADL,Other
ACADL-2,ACADL,Other
ACADL-3,ACADL,Other
ACADL-4,ACADL,Other
ACADM-1,ACADM,Other
ACADM-2,ACADM,Other
ACADM-3,ACADM,Other
ACADM-4,ACADM,Other
ACADS-1,ACADS,Other
ACADS-2,ACADS,Other
ACADS-3,ACADS,Other
ACADS-4,ACADS,Other
ACADSB-1,ACADSB,Other
ACADSB-2,ACADSB,Other
ACADSB-3,ACADSB,Other
ACADSB-4,ACADSB,Other
ACADVL-1,ACADVL,Other
ACADVL-2,ACADVL,Other
ACADVL-3,ACADVL,Other
ACADVL-4,ACADVL,Other
ACAT1-1,ACAT1,Other
ACAT1-2,ACAT1,Other
ACAT1-3,ACAT1,Other
ACAT1-4,ACAT1,Other
ACAT2-1,ACAT2,Other
ACAT2-2,ACAT2,Other
ACAT2-3,ACAT2,Other
ACAT2-4,ACAT2,Other
ASIC2-1,ASIC2,Other
ASIC2-2,ASIC2,Other
ASIC2-3,ASIC2,Other
ASIC2-4,ASIC2,Other
ASIC1-1,ASIC1,Other
ASIC1-2,ASIC1,Other
ASIC1-3,ASIC1,Other
ASIC1-4,ASIC1,Other
ACHE-1,ACHE,Other
ACHE-2,ACHE,Other
ACHE-3,ACHE,Other
ACHE-4,ACHE,Other
ACLY-1,ACLY,Other
ACLY-2,ACLY,Other
ACLY-3,ACLY,Other
ACLY-4,ACLY,Other
ACO1-1,ACO1,Other
ACO1-2,ACO1,Other
ACO1-3,ACO1,Other
ACO1-4,ACO1,Other
ACR-1,ACR,Other
ACR-2,ACR,Other
ACR-3,ACR,Other
ACR-4,ACR,Other
ACO2-1,ACO2,Other
ACO2-2,ACO2,Other
ACO2-3,ACO2,Other
ACO2-4,ACO2,Other
ACOX1-1,ACOX1,Other
ACOX1-2,ACOX1,Other
ACOX1-3,ACOX1,Other
ACOX1-4,ACOX1,Other
ACP1-1,ACP1,Other
ACP1-2,ACP1,Other
ACP1-3,ACP1,Other
ACP1-4,ACP1,Other
ACP2-1,ACP2,Other
ACP2-2,ACP2,Other
ACP2-3,ACP2,Other
ACP2-4,ACP2,Other
ACP5-1,ACP5,Other
ACP5-2,ACP5,Other
ACP5-3,ACP5,Other
ACP5-4,ACP5,Other
ACPP-1,ACPP,Other
ACPP-2,ACPP,Other
ACPP-3,ACPP,Other
ACPP-4,ACPP,Other
ACRV1-1,ACRV1,Other
ACRV1-2,ACRV1,Other
ACRV1-3,ACRV1,Other
ACRV1-4,ACRV1,Other
ACTA1-1,ACTA1,Other
ACTA1-2,ACTA1,Other
ACTA1-3,ACTA1,Other
ACTA1-4,ACTA1,Other
ACTA2-1,ACTA2,Other
ACTA2-2,ACTA2,Other
ACTA2-3,ACTA2,Other
ACTA2-4,ACTA2,Other
ACTB-1,ACTB,Other
ACTB-2,ACTB,Other
ACTB-3,ACTB,Other
ACTB-4,ACTB,Other
ACTC1-1,ACTC1,Other
ACTC1-2,ACTC1,Other
ACTC1-3,ACTC1,Other
ACTC1-4,ACTC1,Other
ACTG1-1,ACTG1,Other
ACTG1-2,ACTG1,Other
ACTG1-3,ACTG1,Other
ACTG1-4,ACTG1,Other
ACTG2-1,ACTG2,Other
ACTG2-2,ACTG2,Other
ACTG2-3,ACTG2,Other
ACTG2-4,ACTG2,Other
ACTN4-1,ACTN4,Other
ACTN4-2,ACTN4,Other
ACTN4-3,ACTN4,Other
ACTN4-4,ACTN4,Other
ACTL6A-1,ACTL6A,Other
ACTL6A-2,ACTL6A,Other
ACTL6A-3,ACTL6A,Other
ACTL6A-4,ACTL6A,Other
ACTN1-1,ACTN1,Other
ACTN1-2,ACTN1,Other
ACTN1-3,ACTN1,Other
ACTN1-4,ACTN1,Other
ACTN2-1,ACTN2,Other
ACTN2-2,ACTN2,Other
ACTN2-3,ACTN2,Other
ACTN2-4,ACTN2,Other
ACTN3-1,ACTN3,Other
ACTN3-2,ACTN3,Other
ACTN3-3,ACTN3,Other
ACTN3-4,ACTN3,Other
ACVR1-1,ACVR1,Other
ACVR1-2,ACVR1,Other
ACVR1-3,ACVR1,Other
ACVR1-4,ACVR1,Other
ACVR1B-1,ACVR1B,Other
ACVR1B-2,ACVR1B,Other
ACVR1B-3,ACVR1B,Other
ACVR1B-4,ACVR1B,Other
ACVR2A-1,ACVR2A,Other
ACVR2A-2,ACVR2A,Other
ACVR2A-3,ACVR2A,Other
ACVR2A-4,ACVR2A,Other
ACVR2B-1,ACVR2B,Other
ACVR2B-2,ACVR2B,Other
ACVR2B-3,ACVR2B,Other
ACVR2B-4,ACVR2B,Other
ACVRL1-1,ACVRL1,Other
ACVRL1-2,ACVRL1,Other
ACVRL1-3,ACVRL1,Other
ACVRL1-4,ACVRL1,Other
ACY1-1,ACY1,Other
ACY1-2,ACY1,Other
ACY1-3,ACY1,Other
ACY1-4,ACY1,Other
ACYP1-1,ACYP1,Other
ACYP1-2,ACYP1,Other
ACYP1-3,ACYP1,Other
ACYP1-4,ACYP1,Other
ACYP2-1,ACYP2,Other
ACYP2-2,ACYP2,Other
ACYP2-3,ACYP2,Other
ACYP2-4,ACYP2,Other
ADA-1,ADA,Other
ADA-2,ADA,Other
ADA-3,ADA,Other
ADA-4,ADA,Other
ADAM8-1,ADAM8,Other
ADAM8-2,ADAM8,Other
ADAM8-3,ADAM8,Other
ADAM8-4,ADAM8,Other
ADAM10-1,ADAM10,Other
ADAM10-2,ADAM10,Other
ADAM10-3,ADAM10,Other
ADAM10-4,ADAM10,Other
ADAR-1,ADAR,Other
ADAR-2,ADAR,Other
ADAR-3,ADAR,Other
ADAR-4,ADAR,Other
ADARB1-1,ADARB1,Other
ADARB1-2,ADARB1,Other
ADARB1-3,ADARB1,Other
ADARB1-4,ADARB1,Other
ADARB2-1,ADARB2,Other
ADARB2-2,ADARB2,Other
ADARB2-3,ADARB2,Other
ADARB2-4,ADARB2,Other
ADCY1-1,ADCY1,Other
ADCY1-2,ADCY1,Other
ADCY1-3,ADCY1,Other
ADCY1-4,ADCY1,Other
ADCY2-1,ADCY2,Other
ADCY2-2,ADCY2,Other
ADCY2-3,ADCY2,Other
ADCY2-4,ADCY2,Other
ADCY3-1,ADCY3,Other
ADCY3-2,ADCY3,Other
ADCY3-3,ADCY3,Other
ADCY3-4,ADCY3,Other
ADCY5-1,ADCY5,Other
ADCY5-2,ADCY5,Other
ADCY5-3,ADCY5,Other
ADCY5-4,ADCY5,Other
ADCY6-1,ADCY6,Other
ADCY6-2,ADCY6,Other
ADCY6-3,ADCY6,Other
ADCY6-4,ADCY6,Other
ADCY7-1,ADCY7,Other
ADCY7-2,ADCY7,Other
ADCY7-3,ADCY7,Other
ADCY7-4,ADCY7,Other
ADCY8-1,ADCY8,Other
ADCY8-2,ADCY8,Other
ADCY8-3,ADCY8,Other
ADCY8-4,ADCY8,Other
ADCY9-1,ADCY9,Other
ADCY9-2,ADCY9,Other
